Sentence,Topic
Then when that was done there was a further delay as there were no ground staff to operate the skybridge.,Others
I took the elderly gentleman with me to IBERIA where the counter staff member rolled her eyes in disgust and said that it was nothing to do with IBERIA.,Others
The staff are friendly.,Others
"today is day 6 and BA staff over the phone say ""call after 72 hours"".",Staff Attitude
had to extract information from staff that they arrived to Vancouver on Jan 2nd.,Others
and on the way out it felt well staffed and efficient.,Staff Attitude
Attitude with British Airways staff has been absolutely horrendous.,Others
"met with nothing but rude staff,",Others
"Very rude and unhelpful staff and I will chose another carrier in the future,",Others
The staff were no help and frankly rude.,Others
We were told we’d get thru security on time to make the flight and it was suggested that staff would assist us.,Staff Attitude
We questioned a BA staff member who said we had to get in line like the others.,Staff Attitude
"When we got to the check-in counter area a BA staff person,",Staff Attitude
"We asked BA staff for refund,",Staff Attitude
I approached BA ground staff for advice as I have a connecting Singapore Airlines flight at 1125 on the same day.,Staff Attitude
"Passengers waited almost 90 minutes at London Terminal 5 for baggage to arrive - excuse given by BA ground staff was that the baggage staff are ""very busy right now"" and our baggage will arrive ""soon.",Others
"Our 2 internal flights between London and Edinburgh were great due to the friendly staff and there were no complications,",Others
"the staff seemed very overwhelmed,",Others
"Overall it took us about 2 hours to get me checked in after speaking to about 6 different staff members,",Staff Attitude
I had an Incredible rude check in staff at the British Airways counter in Nice on 16th April 2022.,Others
"overcrowded and not managed at all by disinterested staff - that we sat on the tarmac,",Others
The staff were friendly enough but they were rarely seen between meals.,Others
"I went to complain to various BA staff,",Staff Attitude
Also unnecessary as if BA had staffed the desks properly the queue would have moved.,Staff Attitude
"A staff member told us BA had laid off lots of staff during lock down and was now begging them to return,",Staff Attitude
Staff service on the inbound leg was disappointing.,Lack of Staff
We queued and were number 4 in line and waited for 1 hour for staff to check us in.,Staff Attitude
"What was clear is staff quality in Austin is poor,",Others
The staff that were there either told you to go online - a bit difficult as the BA systems were down or ring BA.,Staff Attitude
The staff are fine but can be miserable because they are treated so badly and like to remind you that they are doing their best in a difficult situation - well so are the passengers.,Others
the staff will say there is nothing they can do.,Others
No staff to serve the waiting passengers.,Others
so a large group of passengers had to roam round Dubai airport looking for BA staff.,Staff Attitude
While the holidays and the plane staff are fantastic the customer service and the staff at Heathrow are useless.,Lack of Staff
However the handling of the situation by the staff at the airport was a joke.,Others
They had 4 to 5 staff ran a kiosk queue of over 100+ unhappy travellers whilst they could have set up mini kiosks on the unused gates to get through everyone quicker.,Others
Their was no crowd control and at one point after queuing for 2 hours plus the staff decided to shut up shop.,Others
Since the plane landed late into LHR I missed my connecting flight which could have been avoided if the staff at Heathrow had assisted me or held the plane for a short while.,Others
A few days after I got home I then raised a complaint expressing how annoyed I was and waited over a month for a response before chasing it up only to find the complaints staff were not working.,Others
I got an apology and told the staff at Heathrow will be better but in terms of good will and compensation I was offered nothing!,Others
only one member of staff is processing people whilst other BA staff stood around on their phones or having a chat.,Staff Attitude
One member of staff stopped processing a man desperately trying to catch his flight in order to start processing someone else who had jumped in.,Others
There are some very good and courteous members of staff but there are also some awful members of staff who behave unprofessionally.,Others
then gate staff said the aircraft has not been given permission to land at Aberdeen due to poor weather.,Others
"BA staff were rude and dismissive of customer complaints at length of time bags were taking to arrive,",Staff Attitude
Check in staff friendly but too few of them.,Others
drugs and bad attitude and when you complained you were fobbed off as they knew there was no BA staff to sound off too.,Staff Attitude
"They are the only airline making passengers do this and they can’t even open all the desks so for 200 passengers they had two check in staff,",Others
where two BA staff were contradicting each other.,Staff Attitude
the British Airways staff informed me that I had booked both flight seats in my name by mistake.,Others
the staff member who I spoke to at the desk promised to email us flight vouchers which I would get shortly so that I could fly at another time with BA since they do not offer refunds.,Staff Attitude
I have chased numerous times on the phone with BA staff who said that it was my error and that no flight vouchers would be sent to me.,Staff Attitude
"They have no record that a staff member spoke to me and promised these vouchers,",Others
One BA staff member on the phone said that I should track down the lady I spoke to at Heathrow and ask her if she remembers me.,Staff Attitude
BA staff at Heathrow were rude and generally clueless for the most part.,Staff Attitude
No check in staff for Economy.,Others
I recently had my flight cancelled on 3 occasions and the staff weren't interested in helping me return home.,Others
Staff was so rude and treated us like trash.,Staff Attitude
British Airways staff did not offer us to jump the queue at anytime.,Staff Attitude
they had to protect staff'.,Others
"there was no international flight customer service staff available so I was not able to get a response,",Lack of Staff
My laptop was left inside the flight hence it is impossible for crew staff and cleaning staff to not find it hence I just can not understand how they can not find it bearing in mind it was 100% left inside the plane.,Others
At check-in desk at T5 Heathrow was told by BA staff that Sweden only allowing Swedish nationals into country.,Staff Attitude
I offered the phone to BA staff to clear up any confusion.,Staff Attitude
"While in-flight staff at BA are still terrific,",Staff Attitude
The staff was unfriendly and inconsiderate to me.,Others
Extremely rude staff and service.,Lack of Staff
guidance or remorse from the staff.,Others
the Check-In-Staff discussed my dilemma with her supervisor.,Others
We had to wait for 40 minutes before any check in staff turned up.,Others
the staff were surly and rude.,Others
Service bad from staff.,Lack of Staff
For the price of the airline ticket the whole experience was way below expected service and time of staff.,Lack of Staff
Very rude check in staff when told we had to print out boarding passes and also for our suitcases.,Others
Rude staff gave me a voucher for 15 GBP.,Others
The staff in purple at the airport who are supposed to help passengers find connecting flights didn’t know what to do.,Others
Instead they were treated appallingly and felt bullied by the airline staff.,Others
I tried my best but there was no staff to help me so I have to leave my bag as I was not allowed to take the bag on the plane.,Others
A terminally ill airline packed with clueless staff full of attitude.,Others
Very stressful at least the staff were nice.,Others
"When my son and his girlfriend proceeded to drop their hand luggage a member of staff insisted in making them pay 50GBP because one of the suitcases was 4cm oversize,",Others
"Staff said that if he did not pay,",Others
My wife lost her luggage ever since the first day of our journey on 1st August because our two pieces of luggage were left in Heathrow Airport by BA staff when we took the transit flight from the UK to Copenhagen.,Staff Attitude
we kept phoning and emailing Menzies staff to urge them to send the luggage to our house but they failed to do so.,Staff Attitude
Menzies staff still failed to deliver the luggage to us so we told them we decided to pick them up at the airport.,Staff Attitude
We believe that the baggage was the one which was sent to the island but is still missing but the staff messed it up.,Others
we couldn't find our luggage and the staff didn't explain why and just told us to leave.,Staff Attitude
The staff just kept saying that they were busy and that no one had time to look for the baggage for us.,Staff Attitude
We are literally sick of phoning Menzies staff every day and not getting anywhere.,Others
Now that Menzies staff asked us to pressure BA to in turn pressure them to locate our luggage.,Staff Attitude
However the ground staff especially at the check in counter in DXB and lost & found at London heathrow were rude and very unhelpful.,Others
The staff was friendly but spending money on a 5 hour flight on such a small plane doesn't worth it.,Others
They clearly train their staff in the multitude of ways to frustrate their customers.,Others
It’s easier to use the train than fly with BA the staff don’t even get embarrassed anymore and stand smiling offering apologies to the tired and weary customers.,Staff Attitude
"All the flights were cancelled without explanation - presumably because the striking staff didn't turn up,",Others
BA staff watched while security went through partner's bag for around 30 mins.,Staff Attitude
The airport staff in Sardinia appeared to be overwhelmed.,Others
I arrived 3 hours before flight where I waited in line for an hour while staff attended to checking people in a what seemed like a turtle paced snail like sense of urgency.,Others
a British Airways staff was ready with another ticket from Delhi to Mumbai without me even asking.,Others
"2 BA staff working in two desks,",Staff Attitude
The adjacent Jet2 desks had seven staffed desks and I counted 14 staff!,Others
What was astonishing is that we had to wait an hour or so to drop off our luggage because at Lyon Airport they were training new ground staff at the same time?,Others
the staff sent me to terminal 5 at the lost and found to pick up my bag while it was not even there.,Others
where they (the friendly lost and found staff and not the BA staff) nicely explained me that there was no point for me to go there and called some other agents to help me.,Others
Can't fault the staff onboard who are clearly dedicated to the BA brand.,Staff Attitude
Unlike all the other airlines that I have travelled with there were no staff member greeting the connecting customers to point them in the right direction or re-assure them.,Others
"Rude staff,",Others
I spilled my drink and the attitude of the staff was brutal.,Others
but I was made to feel like I had deliberately done some shameful act in public and staff would not want to have anything to do with me.,Others
The staff did not even have the courtesy to ask me if I needed another drink once I cleaned myself up.,Others
"The staff wrote Bangalore via Heathrow,",Others
The staff at check-in could not have been less helpful.,Others
British Airways ground staff made us check one of our carry on bags.,Staff Attitude
"staff acted very confused and said their rerouting center is closed for the evening due to issues,",Others
The airport staff also said no further help from British Airways is available on the day to due airport issues.,Others
and British Airways said in the end they do not compensate costs for rerouting with a different airline (opposite to what their airport staff said on the day of cancellation).,Others
In the plane there is no place for my bag and the staff said sorry sir we don’t have space and you can put that underneath your seat.,Others
"The staff offered little apology,",Others
Staff on the flight were clumsy and rude - one attendant dropped a water bottle on my shoulder and offered the merest apology.,Others
Ground staff forced me to check-in my suitcase during boarding process due to lack of space in the plane and I got my suitcase damaged with 2 big cuts on the back.,Others
there were large numbers or Argentinian passengers on the plane yet I saw no staff that spoke Spanish.,Others
the staff announced flight will be delayed because cabin temperature is too high.,Lack of Staff
30 mins after I realised I went back to the airport but no British Airways staff was willing to help.,Others
Dialed for BA baggage enquiry and staff picked up the phone and hung up on purpose and never answered again.,Staff Attitude
"When I called the staff over she had no idea what a vegan was,",Others
"so we asked for a coffee with Soya Milk - the staff to whom I had had to explain what a vegan was said ""oh I don't think we have that,",Others
the flight staff was kind and helpful.,Others
unhelpful staff.,Others
Delays seem so regular that staff have a casual attitude to delays.,Others
the staff told them to wait.,Others
BA gate staff should be better trained how to deal with (potentially) anxious passengers and reminded that not everyone speaks or understands English.,Staff Attitude
The check in staff were very forceful and abrupt.,Others
Excuses as I saw more staff came afterwards and the queue was moving fine.,Others
They could have just got more staff there to begin with.,Others
no announcement and the ground staff were in a world of their own.,Others
"I show the staff my mobile boarding pass,",Others
Boarding was with the same unhelpful and unprofessional staff with the very arrogant manner.,Others
Cue BA staff running around and frantically checking boarding passes.,Staff Attitude
"Such is the confidence that the cabin crew have in their own ground staff,",Lack of Staff
Much checking of iPads and a BA staff member is then found (there were quite a few on the flight apparently) and hurriedly moved to the jumpseat whilst an announcement from the flight deck is booming out for everyone to take their seats or delay the flight (what seat?,Others
I was told by BA check in staff in Venice that it is against their baggage policy to allow luggage to be fastened together.,Staff Attitude
The staff were clear that it is BA policy that bags cannot be fastened together.,Staff Attitude
the customer service staff have failed to provide evidence of the baggage policy alleged by their check in staff in Venice.,Lack of Staff
BA has also refused to confirm whether these two check in staff are in fact BA employees or employed by a third party.,Staff Attitude
The BA staff made us to check in our bags even they were carry on.,Staff Attitude
I was initially served by a very helpful staff who attends to my rebooking issue - the last flight I was rebooked was overbooked.,Others
later on I was passed on to a couple of rude staff that were reluctant to serve me as it was 15 minutes past their end of shift.,Others
When i mentioned to the onboard staff I was hungry I was informed there are no snacks available and a meal would be served shortly before landing.,Others
Staff overall were uninterested and unhelpful.,Others
The cabin staff were almost robotic and programmed in the discharge of their duties with no interaction with passengers.,Lack of Staff
Arrogant staff.,Others
We were not offered Tea or Coffee at any point and found the staff inattentive.,Others
A big name like British Airways has such a poor service with such rude and unprofessional staff.,Lack of Staff
The desk staff told us they were trying to phone BA to ask what to do with the rest of us but were getting no answer from them.,Staff Attitude
but the ground staff are beyond it.,Others
meaning that all the hand luggage won't fit in the cabin ergo their staff find silly reasons to confiscate your bag.,Lack of Staff
Additionally the staff were very rude and condescending towards passengers.,Others
The colours may be gaudier but the service is the same and the staff are infinitely friendlier.,Lack of Staff
"The staff were ok,",Others
"Staff were ok,",Others
however the staff in the counter keep question if my mom can speak English.,Others
Staff could not distinguish the Taiwan passport from the China passport and keep said that we need Visa to go to Spain.,Others
The worst staff I had  met.,Others
Again we had to beg for assistance and the British Airways staff did not seem to know or care about this.,Others
so we had to wait for the Westjet staff to contact somebody from British Airways to get us to the carrusel and take the luggage.,Staff Attitude
We can only thank Westjet staff who provide the assistance in Vancouver.,Others
uninspired staff and delay on inbound flight.,Others
Some passengers were poorly behaved and argued with the staff.,Others
This was quite hard on the staff.,Others
"On my return flight from Oakland to Gatwick when I went to the check in luggage I was told by the staff at the desk that TSA will break my lock to check through my luggage,",Staff Attitude
When I mentioned this to the staff who gave me this food she said that’s what you asked for but I said sorry I didn’t as on the food label clearly says 18A and my seat no is 18K so how is this my food.,Others
Their lounge at DUS is closed but their check-in staff doesn't know that (she sent me up there).,Others
I was told on the Saturday that my hand luggage was fine (the right size) by BA staff at Geneva airport - it was physically inspected.,Staff Attitude
"Staff at the airport were insanely rude (to be honest,",Others
Staff were very friendly and helpful however.,Others
Staff did not speak a word of Italian.,Others
There stewards and stewardesses are rude and unprofessional compared with the professionalism of other airline staff.,Others
Flights are frequently late or cancelled and the staff are worn down.,Others
but the BA ground staff handling was awful - to the point of zero in reality.,Staff Attitude
but the cabin staff service (that has always been their stronger point) was terrible.,Lack of Staff
They almost seem to work for a different company when compared to the incompetent ground staff.,Others
"When I arrived at NCE the Ground Staff refused to acknowledge the extra bag,",Others
"The trend for BA in their spiral to the bottom is to outsource Check in Staff who have no comprehension of the BA system,",Staff Attitude
"I was greeted with disdain by Ground Staff,",Others
About 30min after the plane took off the food trolley was wheeled up to the club class curtain and staff man had the task of selling all the leftovers from the outbound flight.,Others
The main difference with BA now is the rudeness and sheer unprofessionalism of staff I encountered.,Staff Attitude
"Both times the ground staff were inconsitant,",Others
Also the variety on the new M&S menu - whilst generally a good thing - meant the staff kept on running back to the galley to replenish (clearly still not enough stored).,Others
It has the worst service and incredibly rude staff.,Lack of Staff
this member of BA staff shouts at us for everyone to hear and asks us to go to the back of the line.,Staff Attitude
"are insufficiently staffed,",Staff Attitude
No greeting or assistance on boarding from cabin staff.,Lack of Staff
"Cabin staff rude and unhelpful,",Lack of Staff
Staff didnt know how to get people out of the airport and despte flights on time for Charles De Gaulle no alternative was offered.,Others
to the cabin crew gossiping loudly about other members of staff.,Lack of Staff
"I have encountered rude staff on check in,",Others
"Staff brilliant,",Others
information filtered through Italian speaking passengers who sought help with staff from Iberia airlines.,Others
BA staff was gone after 6pm and we were shuttled to hotel and told a rep would give us further information at hotel.,Staff Attitude
And Qatar Airways ground service staff show that they do care.,Lack of Staff
my experience is that they have some of the best pilots and their inflight staff make all the efforts to give the airline an image.,Others
they have some of the worst airport desk staff in the industry.,Others
"The staff could not have cared less and spent the time chatting about how low BA had sunk,",Staff Attitude
how staff morale was terrible and how they could escape!,Lack of Staff
It's hard to raise a smile from many of the check in staff/stewards - they don't seem to care anymore.,Others
boarding in Stuttgart by agency staff was chaotic - unsure who was entitled to what.,Others
the airline has gone down and staff really don't care - especially in heathrow baggage office.,Others
The staff were not even nice about it.,Others
After pleading with airport staff we were placed on a flight to Bahrain and transferred to our original planned destination New Delhi.,Others
"When I got the BA self service machine with 55 minutes remaining in the original flight timing (and almost 2+ hours before the actual flight time) I had issues printing my boarding pass and was told by the helper to go to Zone E to get a Boarding pass printed by the counter staff,",Lack of Staff
British Airways BA staff.,Staff Attitude
"The staff are surly and abrupt,",Others
"The staff tried in vain to change the ticket but were told by faceless managers,",Others
Upon takeoff the aircon above decided it was going to start leaking water above - when the guy sat in seat enquired the staff smiled said she would see what she can do then went to the galley behind me and I heard her say to a co-worker that's the last of her problems.,Others
On the return journey I noticed part of the reason for this new policy: the Stuttgart ground staff have now been replaced by agency staff.,Others
I was not given a copy of the compensation scheme details (despite what the BA website claims should be done) and the staff seemed unclear of it themselves.,Others
there were 5 members of BA check in staff doing nothing (nobody else to serve) whilst I was just standing silently there ‘waiting’ and being ignored.,Staff Attitude
I informed him that I resented having been treated rudely by his staff earlier (though the supervisor himself was professional and courteous) and that his staff are untrained to deal with overbookings.,Others
Arrived early at airport to find plane was overbooked so my partner and I didn't get our seats together - ground staff could do nothing about it.,Others
I have never been spoken to so rudely by a member of staff in my life!,Others
"I informed the cabin staff of this - but due to the flight being overbooked,",Lack of Staff
When I complained about this to the flight staff on the second occasion (keep in mind this was at the end of the flight when I had been sitting on an uncomfortable metal bar for 10 hours) - the steward informed me that 'I was travelling to a poor country and I should be grateful for the food I was getting'.,Others
I do not book flights with BA to get lectured by your flight staff.,Staff Attitude
I checked a bag so just had a small carry on but the staff insisted it have this silly thing attached that I immediately ripped off.,Others
"The BA staff at the airport weren't helpful at all,",Staff Attitude
Poor communications from LHR British Airways staff.,Others
British Airways were completely under staffed and disorganised.,Staff Attitude
Staff are old and 'entitled'.,Others
"I was looking forward to a sandwich or at least a croissant to take the hunger off and was completely shocked when the cabin staff came round with a tray and offered us either a mini size kit kat,",Lack of Staff
"The cabin staff told me it was the new policy,",Lack of Staff
"the ground staff proceed to suggest that its my fault because I booked two separate tickets,",Others
Staff have attitude across the board.,Others
Cabin staff stomp up and down the aisle attending to premium economy - bumped into numerous times.,Lack of Staff
"The cabin staff would rather have other passengers disturbed by aggravated,",Lack of Staff
Staff seemed tired and overworked at counters.,Others
The charge to reserve your seat is extortionate The check in staff at Gatwick were miserable to the point of rudeness.,Others
They ground staff explained they had cancelled my ticket as they thought I would not make it.,Others
On this particular flight staff seemed unfriendly and unapproachable and there seemed to be a general contempt for economy travellers.,Others
When I asked the BA staff and managers to arrange access they only gave me an insulting £5 worth of voucher.,Staff Attitude
surly staff that act like BA was still a 1970's state enterprise.,Staff Attitude
Doesn't matter how much it weighs as long as bags are of a certain size but even this is not enforced or monitored by the airport staff.,Others
My return flight to Bangkok on a tired sunken seat with bent worn and distorted table closures and scratched video screen topped by the sight of BA cabin staff too short and rotund to be able to reach and close the overhead lockers before take off - and persuading a bemused passenger out his seat to do this for them that this is not the former 'flag carrier' but a worn out and low cost discount carrier.,Lack of Staff
slow service from section cabin staff and  in my opinion just too many people are accommodated on this aircraft.,Lack of Staff
"Very grumpy and abrupt staff and the meal,",Others
This is apparently a new policy and the staff member said it has led to many complaints from customers.,Others
"The cabin staff seemed hell bent on racing through ""meal"" service to maximise time available to chat in the galley.",Lack of Staff
Staff were very friendly but they must be embarrassed by the lowering of standards on British Airways.,Others
"Whilst some of the cabin staff are lovely,",Lack of Staff
The staff in the plane more less accabtable.,Others
"I asked the staff,",Staff Attitude
staff behaved partly unacceptable.,Others
British Airways staff were no where to be found!,Others
two hours to clear customs because they were short staffed.,Staff Attitude
Well dealt with by cabin staff.,Lack of Staff
Cabin staff great but product is poor.,Lack of Staff
"Ground staff were the now usual bunch of jobs worths,",Others
Cabin staff were rude and uncaring.,Lack of Staff
Does BA ground staff care about it?,Staff Attitude
the cabin staff were surly and uninterested.,Lack of Staff
Cabin staff were very good.,Lack of Staff
"Whilst I would agree that the staff on AA see passengers as a necessary evil (particularly as we were the lowest of the low in standard economy),",Others
I went to a check-in bag drop counter where the staff ignored me for a good few minutes as she conducted a personal conversation with one of her colleagues.,Others
To be fair the DPD staff were helpful and told me the reference number from Swissport was wrong.,Others
"I've had occasional problems - rude staff,",Others
Service was variable - the VOD in my seat did not work (all I could get was the map) and one of the staff reset it (quite grudgingly I felt) 3 times without success.,Lack of Staff
Thankfully a more senior staff member was able to find the only other unoccupied seat about 3 hours after takeoff.,Others
Staff on board appeared far from athletic.,Others
Check-in staff rude and arrogant and didn't explain the delay.,Others
Other people were turned back rather rudely by BA staff.,Staff Attitude
The staff on our return flight were rude to passengers and nice only to a select few.,Others
and if you're a have not then don't even bother expecting any courtesies from the staff.,Others
The people sitting next to me had a complaint and it took 3 hours for a staff member to address them.,Others
"The staff only made one announcement,",Others
Staff are extremely unhelpful and will never use BA ever again.,Staff Attitude
In-flight Staff were friendly and efficient however the complimentary breakfast (of a ham and cheese croissant) could best be described as awful (a croissant in name only!,Others
So why no extra staff to cope with this?,Others
desk staffed by only one person.,Staff Attitude
"When we touched down in Bombay the flight attendants said that BA ground staff would help us with missed flights,",Staff Attitude
On this advice we sought out uniformed BA ground staff in the luggage hall and asked for advice on what to do.,Staff Attitude
Armed with this advice from BA staff we went ahead and purchased new tickets.,Staff Attitude
I can only conclude that the BA staff member we spoke with in Bombay was either fobbing us off or was improperly instructed in what to say to customers.,Staff Attitude
Either way British Airways should be held responsible for the advice their staff give.,Others
Are British Airways training their staff to be as rude and obnoxious as possible?,Others
Passengers were arguing with one another (3 separate fights were witnessed) and staff were being very aggressive shoving bags and coats in every nook and cranny and telling people to move.,Others
The staff at Paris airport refused to check-in my piece of luggage on the continuing Avianca flight because I had not booked that ticket with BA.,Staff Attitude
"When I pointed out to the BA staff the impact this would have they said it was my fault for booking 2 separate tickets,",Staff Attitude
"and it appeared that some staff and/or standby passengers were given priority,",Others
"BA refused to state whether staff or standby passengers had been prioritised,",Staff Attitude
"and this applies to individuals but not to categories such as staff or standby,",Others
I was told by a member of staff that my name was not on the system.,Others
The flight attendant told me not to worry and there will be lots of BA ground staff to help us all when we arrive at Johannesburg.,Staff Attitude
Once landed there were no British Airways staff present - except for one lady in a High Vis jacket who explained to people that needed to get the connecting flight to Johannesburg to leave their luggage as it would be put on the plane and to Run to the next gate for the flight.,Staff Attitude
No staff were helpful even though I was crying and feeling completely bewildered.,Others
"we were stopped and told we were now at the back of the plane with our tickets given to BA staff,",Staff Attitude
"The staff were loud and abrupt,",Others
"She radioed another member of staff to ask if we were to be allowed to come on the flight in an extremely moody manner,",Others
Eventually we were allowed and with one last scowl from the staff left the desk.,Others
We had a long wait at a deserted Genoa airport and no British Airways or other staff were on hand to assist or offer drink or food.,Others
The staff was very friendly.,Others
Looking after our area was a charming staff who really made us feel welcome and did his very best to find some people seconds if they were left hungry after the meal.,Staff Attitude
Oh and the flight was delayed and the boarding staff were slow and inefficient.,Others
the problems came when we had to deal with the Orlando check in staff and customer complaints in uk.,Others
"This turned into 2 hours of sheer hell with the staff (including airport manager) while my baby screamed the place down hungry,",Others
The staff were rude and arrogant and refused to admit they had messed up and refused to change our seats back as they had seated someone else there who had no baby.,Others
plus the staff were abrupt and snappy.,Others
"It did not help that the British Airways staff blatantly allowed people to cut in line,",Others
"The counter staff,",Others
"ground staff said they had no authority - lots of phone calls nothing achieved,",Others
but as usual when you present at the bag-drop the staff member will say whatever is necessary to get you away and through security with minimum fuss and delay.,Others
"poor organisation with bad customer service from British Airways staff who didn't care that I would have a 5 hour delay,",Lack of Staff
No staff seemed to care about the delay my partner and I were experiencing after a 7 hour flight.,Others
the seats and decor was tired and the staff rude.,Others
The staff were better than the previous flight.,Others
Our plane was really old and most staff were almost the same.,Others
"Upon checking in to return was met with rude staff who commented ""don't even touch that it's hassle just refer her to ticketing"" where I spent the next two hours waiting for them to check me in.",Others
However this wasn't all - check in staff went on to tell me that my 32 kilo case could not be boarded as it was too heavy under health and safety regulations.,Others
Would never fly British Airways again due to the complete and utter incompetence of the ground staff at Miami.,Others
Flight was delayed by more than 2 hours but ground staff were unfriendly and unwilling to help arrange transport options even though plane touched down after midnight with no public transport options available.,Others
rude and impatient staff at the baggage drop and only one person to help at the check in machines.,Others
"Inability of BA ground staff to communicate with immigration (a walk of about 6 feet or a phone call),",Staff Attitude
Staff pretended to be interested and made glib promises about refund and upgrades for the way home which turned out to be a pack of lies.,Others
"The staff were friendly and food was good,",Others
but then we were told our baggage would be with us within two days by one of British Airways staff.,Staff Attitude
"The staff have been unhelpful and unwilling to aid us in finding our luggage,",Staff Attitude
We informed the ground staff.,Others
Phoning the call centre resulted in being told the check-in staff could assist.,Others
Arriving at Heathrow the check in staff informed us there was nothing they could do but ask at the gate.,Staff Attitude
The staff at the gate told us they could do nothing and had already told another family they would not be seated together.,Staff Attitude
"The only person who offered any form of assistance was a wonderful staff member at Changi airport on the transfer desk when we stopped,",Others
Not one British Airways staff member apologised for this.,Others
A request for alternative food was ignored repeatedly and staff were outright rude to passengers who asked for a landing card towards the end of the flight (I was told to go get it myself at the back of the plane).,Others
I complained to the staff at the gate and they said there was nothing they could do about it as the flight was full.,Others
"The staff were great,",Others
and staff seem to perform to a script - in some cases portray the feeling that because they wear a BA uniform they think they are so excellent - a sad fact is their standards are below several major European airlines.,Staff Attitude
