,Unnamed: 0,verified,month_fly,month_fly_num,year_fly,month_year_fly,country,type,route,ground_service,money_value,recommended,review,origin,destination,transit
42,42,True,December,12.0,2023.0,2023-12-01,United States,Solo Leisure,Indianapolis to Mumbai via London Heathrow,1.0,1,no,"I recently encountered a highly disappointing experience with British Airways, specifically regarding their customer service. After my initial flight leg was canceled, I was rebooked with a connection at London Heathrow reduced to a mere 1 hour and 30 minutes. Realizing the impracticality of this, I promptly contacted British Airways within 10 minutes to request a more reasonable layover of 3-4 hours. Shockingly, the customer support representative flatly refused, citing an inability to change my flight. Despite explaining the logistical challenges of a short layover and a terminal change requiring additional security procedures, I received no assistance. To add to the frustration, the representative inaccurately noted on my account that I was presented with multiple options during our conversation. Moreover, the use of military time format and the lack of initial options provided only exacerbated the communication issues. Both phone and email support proved equally incompetent, and I was informed that customer service is outsourced to India, allegedly contributing to the subpar service. This experience has left me not only struggling to rebook my flight but also with a strong resolve to avoid British Airways in the future. The lack of assistance, blame-shifting, and overall incompetence in customer service make it my worst experience yet. I strongly advise others to steer clear of British Airways and their appalling customer service.",Indianapolis,Mumbai,London Heathrow
47,47,True,June,6.0,2023.0,2023-06-01,United Kingdom,Solo Leisure,London to Frankfurt,1.0,1,no,"I was going to fly to Frankfurt from Glasgow over London but the flight from London to Frankfurt was cancelled. This meant I had to stay overnight in London where I have no accommodation etc. As I was rebooked to a flight from London City airport which was more than 2h by train I had to get an uber and then take a hotel for £250 in total (London prices). I was reassured over the phone that I would get all the money back. My flight from London city airport was then cancelled again and rebooked to London Heathrow but two days later. I then cancelled that flight and rebooked a new one with Lufthansa as I urgently had to get to work and needed the money. I never received the money back for the hotel, compensation for cancelled flight 1, compensation for cancelled flight 2, the extra food I had to pay for, the uber, or the actual cost of the flight. I was first transferred 3€ by British Airways. They stopped replying to me and told me the issue was ""weather conditions"" although other non-BA flights were going. I lost over £700 in total and never got compensated for the loss of a work day either. It just really feels like they don't care about people. Worst service/airline ever.",London,Frankfurt,
54,54,True,November,11.0,2023.0,2023-11-01,Ecuador,Solo Leisure,Madrid to San Francisco via London Heathrow,1.0,1,no,"BA is great in the air! But... they sell you connections thru London Heathrow Terminal 5 (their private, BA-only terminal) which you are practically not able to make. 90 minutes stopover time, European flight inbound, transatlantic flight outbound, you arrive at the terminal gate ON TIME and... book, security! Endless line, slow process. Your boarding starts and you are nowhere near the X ray, and then.... it is a train ride withing the same terminal (but different, distant buildings). Almost impossible to make. Lots of stress.",Madrid,San Francisco,London Heathrow
55,55,True,November,11.0,2023.0,2023-11-01,United States,Couple Leisure,Lisbon to London Heathrow,1.0,1,no,"I had broken my leg 2 days before our return flight from Lisbon to London. I called to get some assistance from British Airways, hoping for wheelchair assistance, an easier seat to get to, or possibly an upgrade so that I could stretch out my broken leg, which was in a cast. This airline failed on all fronts. Quoted us a price of €6,000 each (I was traveling with my husband), which we could not do. Almost didn't let me on the plane, trying to interpret my medical report. They did not attempt to change our seats, which were near the back. The single concession they made was to allow me to board 1st, but did not offer a wheelchair, so I had to swing myself down the aisle to my seat using the arm rests of all 21 rows before my seat, as the aisles are not wide enough for crutches. Might I add, I am nearly 70. Had to exit same way. No wheelchair waiting for me at Heathrow, had to hop onto bus with crutches to change terminals and nearly took a tumble doing so. Took so long to get a wheelchair that they had to hold my connecting flight (on another airline) for me and we were last to board. That flight had allowed us to upgrade to business class, for a reasonable price, and took great care of me.",Lisbon,London Heathrow,
59,59,True,July,7.0,2023.0,2023-07-01,Switzerland,Family Leisure,Zürich to Tokyo Haneda via London,1.0,1,no,"Dear Community I feel compelled to share the utter frustration and disappointment that defined my recent travel experience with British Airways. Buckle up, folks; this one's a rollercoaster. On July 16 and 17, 2023, I had the displeasure of flying with British Airways on BA709 and BA7, and let me tell you, it was a nightmare. The initial flight from Zurich (ZRH) to London (LHR) on BA709 faced a seemingly unavoidable one-hour delay upon arrival at LHR. This, of course, resulted in me missing my connection to Tokyo, triggering an automatic rescheduling of my flight to Tokyo (HND) via Beijing with Air China. Oh, but the fun didn't stop there — flight CA183 was also delayed, turning my 16-hour delay into a grand total of 23 hours, finally arriving in Tokyo at 23:00 instead of the promised 7:10. And the cherry on top? My four checked-in suitcases decided to take a detour and didn't join me in Tokyo, forcing me to waste an additional two hours filling out forms at the baggage center. I finally got my lost luggage back on July 23, because why make it easy, right? But wait, there's more! My return flight from Tokyo to Zurich (BA8) on August 8 also danced to the delay tune, making me question if punctuality is just a myth for British Airways. The cumulative impact of these delays torpedoed my vacation plans, stealing a whole day of scheduled activities, including a guided Tokyo tour. As if that weren't enough, I had to dig deeper into my pockets for unforeseen expenses—extra airport transfers, tour operator assistance fees, emergency purchases, airport meals, and international calls for rearrangements. The lack of assistance at LHR airport was the icing on this bitter cake. Installing the BA app just to get basic information about alternative connection flights was a hassle, and the fact that no BA clerk could provide this info in person was downright infuriating. British Airways, you've left me with a sour taste in my mouth and a dent in my wallet. Here's hoping you take this feedback seriously and step up your game because right now, it's not a good look. Frustrated and fed up, Bert",Zürich,Tokyo Haneda,London
61,62,True,November,11.0,2023.0,2023-11-01,United States,Business,Brussels to London,1.0,2,no,"I recently had a delay on British Airways from BRU to LHR that was due to staff shortages. They announced that there was a 2 hour holding delay but they would board us immediately in hopes of clearing the gate and leaving early. We had to wait the full 2 hours inside the airplane. The plane was old, dirty, had no power at the seats. The staff provided a small bag of pretzels and 250ml of water to the passengers for 2 hour delay and 2 hour flight. There were no options to purchase food or drink. There were no entertainment options available. I am a OneWorld emerald elite member but they do not upgrade members based on status. First class lounges at Heathrow are overcrowded, understaffed and poorly equipped. The help desk is completely unhelpful when an error arises with delays and cancellations - even when having the top status. The Avios points system has been devalued to near worthlessness and requires fees to book reward that nearly equal the price of the revenue ticket. British has lost its way in recent years and has a moved from a world-class airline to a budget airline with much worse service and timeliness than Ryanair or EasyJet.",Brussels,London,
62,61,True,November,11.0,2023.0,2023-11-01,Germany,Couple Leisure,London to Stuttgart,1.0,1,no,"4 Hours before takeoff we received a Mail stating a cryptic message that there are disruptions to be expected as there is a limit on how many planes can leave at the same time. So did the capacity of the Heathrow Airport really hit British Airways by surprise, 4h before departure? Anyhow - we took the one hour delay so what - but then we have been forced to check in our Hand luggage. I travel only with hand luggage to avoid waiting for the ultra slow processing of the checked in luggage. Overall 2h later at home than planed, with really no reason, just due to incompetent people. Service level far worse then Ryanair and triple the price. Really never again. Thanks for nothing.",London,Stuttgart,
63,64,True,December,12.0,2022.0,2022-12-01,Australia,Couple Leisure,London to Dublin,1.0,1,no,"5 days before the flight, we were advised by BA that it had been cancelled and asked us to rebook. There were flights 1 hour before and 1 hour after our original flight but they made us take one 3 hours earlier. Our original ticket (and the return flight a week later) included a checked bag. When we arrive at Heathrow to check in we are told our ticket doesn't included a bag and we will have to pay 75 pounds each to take them. We explained that the original ticket had the bags and when they checked the system they confirmed that it did- but not this one! They would make no effort to sort it out and just told us to pay up or they would remove us from the flight. So we had no choice but to pay up, thinking it should be pretty easy to get a refund. 15 months and 10 emails later we have still not seen a penny. Every time I ask where my refund is and state how long we have been waiting I get an inane email saying some departments take longer than others to respond!  Absolutely hopeless airline to stuff up the booking in the first place and even worse customer service to not even attempt to solve the problem at check in even when they could see the mistake THEY had made in their system, compounded by being be unable to investigate a very simple claim, and refund me 150 pounds in 15 months.",London,Dublin,
65,65,False,November,11.0,2023.0,2023-11-01,United States,Couple Leisure,London to Lisbon,1.0,1,no,"We traveled to Lisbon for our dream vacation, a cruise to Portugal and Spain. Our friends did not EVER get their luggage. It was a two week cruise. Two weeks without a change of clothes or her CPAP machine. Contacting customer service was a nightmare. We never talked to a real person. Very little effort was put into getting them their bags. In one port we were on the ship and the bags were at the airport. The airlines did not deliver the bags nor did they tell our friends that they needed to go get them. The airline couldn’t be bothered to take the bags from the airport to the ship. BA says it is their policy to get you your bags within 72 hours. That is a joke! It’s been over two weeks and they still don’t have them. They are back home in the US and last they heard the bags were in Lisbon! If your have a choice, do not fly British Airways. Customer Service is non existent!",London,Lisbon,
66,66,True,September,9.0,2023.0,2023-09-01,Romania,Solo Leisure,Bucharest to Manchester via London,1.0,1,no,"Booked a flight from Bucharest to Manchester with a 2h 45’ layover at Heathrow. Flight was delayed from Bucharest because of ATC strike. Arrived at Heathrow 40 minutes later than scheduled and still had enough time to catch my connecting flight. Unfortunately we were stranded in the plane and waited a very long time to disembark the plane due to lack of staff or slot shortage (it’s a common problem with BA at Heathrow). I missed my connecting flight because of their delays and they told me I had to wait all night in a freezing airport for the first flight the next day. There was just a shameful 10£ food voucher which is a joke considering the ridiculous prices at LHR. No accommodation offered and had to sleep in a very cold airport. I asked for compensation and they sent me a long text with the same lame excuses that they are sorry, but they will not compensate anything.  I can’t imagine a worst airline than BA regarding customer care. It is not about money here but rather than the way they treat customers. It is the last time in my lifetime that I will be flying this joke of an airline.",Bucharest,Manchester,London
72,72,True,October,10.0,2023.0,2023-10-01,United States,Couple Leisure,Anchorage to Heathrow via Barcelona,1.0,1,no,"1. Ground crew in Heathrow left 60 passengers luggage. We had 3 bags. 2. The Heathrow ground crew left 1 of ours behind after the 1st two were received the next day. 3. The Heathrow ground crew lost our 3rd bag 4 times and we were on the phone with them for over 3 hrs over the course of the week! 4. Due to this, we had to spend $500 on health and beauty items for my wife on our cruise. 5. British Airways said they MIGHT reimburse after 3 months. 6. We had to spend $100 in cab fare to Barcelona because the Bacelona ground crew (Iberia) claimed they had delivered it to us. 7. Heathrow ground crew made us 15 minutes late arriving back into Heathrow after our cruise. We actually landed 10 minutes early, but those incompetent people still were not ready for us. 8. The Heathrow ground crew caused us to leave 45 minutes late even though ALL passengers were boarded and ready 15 minutes before the departure time. This will probably mean we will miss our connection in Anchorage. BA clearly does not care or know how to operate a ground base...shameful. BA is a joke and should be embarrassed they can't operate like a normal airline. They do not grasp the concept that even a small hiccup can cause mass ripples of chaos to other people.",Anchorage,London Heathrow,Barcelona
77,76,False,October,10.0,2023.0,2023-10-01,United States,Couple Leisure,Seattle to Porto via Heathrow,1.0,1,no,"Absolutely the worst experience ever.  Flew into Heathrow, no problem. Waited for 5 hours, three extra hours, for our connection to Porto then the cancelled the flight. Scrambled for a hotel and a new flight the next day. They routed us through Madrid the next morning. That flight was 1.5 hours late so we missed our connection to Porto. Because we missed the connection (their fault), they cancelled our return flights. After two hours on the phone with customer service from the Madrid airport, they booked us a new return flight, then they made is pay $ 1300 to fly from Madrid to Porto. Then, for no reason they cancelled our return flight again! After hours, and hours and hours with customer service, we finally got a return flight five days after our original return flight. Meanwhile, they lost my wife's luggage. We finally got 15 DAYS after they lost it. Return flight? More problems with our reservations. At no point was British Airways helpful. They left the onus on us to fix their mistakes at every turn. They completely ruined a three week vacation and they don't care. They wouldn't even let us speak to a supervisor or manager. Awful, bordering on passenger abuse.",Seattle,Porto,London Heathrow
78,78,False,October,10.0,2023.0,2023-10-01,Netherlands,Solo Leisure,London to Amsterdam,2.0,1,no,"Cabin luggage had to go to cargo, even when I said I carried medicines. There was no time to get them out the hand luggage. The economy seats with Virgin Atlantic, KLM and even Ryanair have more space. Luckily it was a short flight.",London,Amsterdam,
79,79,True,October,10.0,2023.0,2023-10-01,United Kingdom,Solo Leisure,San Francisco to London,2.0,3,no,"I have been using BA for a while now and on average I cannot say that I am pretty satisfied. BA somehow experience cancellations and delays most of the time. Second, the in-flight service is usually weak. Food portions are small and cabin crew is not very helpful especially when it comes to drink requests. The screens in the A380s should be renewed as they are full of scratches and same size as A321s. Especially in longer flights, the entertainment system becomes more important. There is also no welcome package except for pillow and small blanket. I would expect more from BA. If you are flying from the US to anywhere except the UK, I would recommend considering other airlines. But if you are flying to/from UK directly, then BA could be one of your choices.",San Francisco,London,
81,81,False,October,10.0,2023.0,2023-10-01,United States,Couple Leisure,London to Austin,1.0,1,no,"I have flow on BA several times since the airline started non-stop service between Austin, TX and London Heathrow. Every year the service gets worse. I brought a tape measure with me to see how far apart the seats are in the economy section. 25½ inches. BA has removed bathrooms in order to squeeze a few more rows of seats onto the aircraft. Thankfully I'm not a big person and was able to squeeze into my seat without being too uncomfortable. When BA first started flying out of Austin, the food was great. Now, when I arrive at Heathrow, I get real food and take it on the plane with me. I don't know where or who makes BA's food, but it is not eatable. If BA did not have a direct flight from my hometown to London, I would fly with a different airline. When we checked into Heathrow, the line was extremely long and only one person was checking people in. It took nearly an hour to get to the counter. I understand airlines are making record profits and need to make up lost revenue from the pandemic, but I think BA has gone too far and has little concern for customer service in pursuit of profits.",London,Austin,
82,82,True,October,10.0,2023.0,2023-10-01,United Kingdom,Solo Leisure,Geneva to London Heathrow,1.0,2,no,"The flight departed over an hour late due to a late inbound plane. The plane was very full, and half of the economy class passengers were forced to check in their larger cabin baggage at the gate when boarding, making a complete mockery of the hand luggage allowance advertised. Lots of passengers on board were stressed out about missing onwards connections due to the delays (and some did miss them as their next gates had closed by the time we disembarked at Heathrow). Onboard service was ok but minimal  - BA gave up being a full-service airline some time ago. More concerning is that trying to get hold of customers services to make changes to bookings and deal with problems was non-existent. The airline seems to make it deliberately hard for its customers to contact it.",Geneva,London Heathrow,
85,85,True,October,10.0,2023.0,2023-10-01,United Kingdom,Solo Leisure,London Heathrow to Geneva,1.0,4,no,"The customer services (call centres etc) are atrocious and sometimes callous. They just don’t care. Long waits to speak to anybody, who then have no power to actually solve anything, and the calls just cut halfway without resolution anyway. If the flights are cancelled (as were my original ones) you’re really left on your own and nobody cares. The onboard services are so-so but for short haul it’s now “semi-low cost” which is confusing as you never know what to expect. This time we were given a bottle of water and a (very) small snack, whilst anything else had to be paid for. And yet on some other flights apparently you have to pre-order any additional food. It’s confusing, which makes it not dependable. Cabin baggage is in theory generous compared to competitors in economy but then they asked more than half the passengers on this flight to check in the cabin baggage at the gate due to lack of space in the overhead cabins, leading to long boarding delays. Their whole offering hasn’t been thought through very well . The USB power supply did not work throughout the flight (contrary to the announcement that the power be available after the seatbelt sight was turned off ) so it was pointless providing the sockets in the first place. Not my first choice airline on this route and am just trying to use up most of my Avios points before I totally abandon them. I fail to see how it is deemed a 4 star airline.",London Heathrow,Geneva,
91,91,True,October,10.0,2023.0,2023-10-01,United Kingdom,Solo Leisure,Berlin to London,1.0,1,no,"BA has a real problem with boarding it's flights. Those who get on first fill the luggage bins with 2 bags, one of which is supposed to be small and under seat only. Cabin staff don't bother implementing their own rules. Subsequent passengers mill up and down the aisle, bumping into each other, searching for space. Boarding this flight took an hour as a result of this nonsense. The incoming flight was late already so our 90 minute flight was 90 minutes late.",Berlin,London,
92,92,True,September,9.0,2023.0,2023-09-01,United States,Couple Leisure,Atlanta to Glasgow via London,1.0,3,no,Our connecting flight from London to Glasgow was canceled and we were forced to wait 12 hours in the airport for a new flight. When we received our luggage at Glasgow we discovered that our luggage was soaking wet. My wife’s luggage contents were wet and had to be air dried.,Atlanta,Glasgow,London
96,96,False,October,10.0,2023.0,2023-10-01,United Kingdom,Couple Leisure,Chicago to Manchester via Heathrow,2.0,2,no,"Just returned from Chicago, flew out 10 days ago on American Airlines absolutely superb in every way, had high expectations on return flight with BA. What a disappointment. The Airbus A380 may be nice from a pilots perspective but as a passenger it was awful. Very uncomfortable seats, the inflight entertainment and flight tracker failed to work throughout the flight, the inflight meal was inedible and the service was mediocre at best. Our short flight from Heathrow to Manchester was much improved, very welcoming and attentive in flight staff and the flight even arrived early. In future we will travel with one of the American carriers.",Chicago,Manchester,London Heathrow
99,99,True,October,10.0,2023.0,2023-10-01,United Kingdom,Business,London to Geneva,1.0,1,no,"Not a reliable airline. You cannot trust the timing at all. I had a 6.45am flight, boarding was on time, but then we are sitting in the plane for already (1.5 hours) and the expected departure is still not clear. They have discovered the engine is not working! I am risking to be late for a business meeting in Geneva. How come they bring a not working plane to the gate. The funny thing is that I had another business trip in spring 2023, also with BA to Amsterdam. When I arrived to the Airport that time - I was told I don't have a seat. I was put on the next flight in several hours, which should have get me to the business meeting late, but still not too much. A lot of stress. In the end, on the second plane we were sitting in the cabin for 1.5 hours and I have missed the meeting. I thought it was a dramatic unlucky case that time, but today I see it's routine for BA not to fly on time.",London,Geneva,
101,101,True,September,9.0,2023.0,2023-09-01,Italy,Business,Milan to San Jose via London,1.0,1,no,"The worst journey in my life. The connection time at LHR was only 1 hour, but the flight from MXP was on delay. I had to rush to change terminal by train and arrived risking a heart attack. After that the plane just stayed there for another 40 minutes. Despite that, upon arrival at SJC my baggage was lost. I filled the form and gave to the employee. I was not given any receipt, so I did not have any reference number. BA phone number at SJC simply never answer. I called twice the toll free number and realized they did not record the delivery address. I had to enter myself online, dealing with a shitty website. They delivered the baggage three days later. I claimed for compensation online, as I had to buy clothes and other stuff and I did never get a receipt. I was expecting an upgrade for the flight back to MXP, but nothing happened, neither they allowed me to enter BA lounge at SJC. Bad customer service. The only positive side was price, but obviously this cannot justify this treatment and if I knew , I would never flown by BA. Never again!",Milan,San Jose,London
104,104,True,September,9.0,2023.0,2023-09-01,United Kingdom,Couple Leisure,London Heathrow to Tokyo,2.0,1,no,"Cancelled our flight last-minute then moved us onto a flight 2 days later operated by Japan Airlines. We had paid a lot extra for extra legroom seats as I am very tall and they assigned me a middle seat deep in the middle of the plane. Because it was operated by a different airline but booked by BA, neither BA nor the other airline could change my seat over the phone despite seats being available. After 4 hours of waiting in queues and sitting on hold their solution was for me to arrive early at the airport. I did but the seats had already been given away for free by people who had booked directly with that airline and could check in online. I got a £10 meal voucher as compensation for this enormous downgrade on a 14 hour flight. Never again will I fly BA. I would rather fly indirect with better airlines than use this disgrace of an airline again.",London Heathrow,Tokyo,
107,107,True,September,9.0,2023.0,2023-09-01,United Kingdom,Business,London to Glasgow,1.0,1,no,I fly British Airways weekly not because I want to but because they own the route there’s no other option therefore they frankly don’t have to care about the customer. The flights are always delayed and it’s always someone else’s fault be it weather delays to incoming aircraft or flight traffic control issues I’ve heard it all and for the life of me cannot understand why they are allowed to operate. I’ve been around the world and traveled with all of the world’s airlines but British Airways are really the worst of the worst. It’s such a shame to have watched what used to be a good company fall down a cliff. My advice is if you have an option to fly with anyone else then exercise the option but if you’re flying with different connections and you have a tight schedule do not expect BA to get you to your destination in time.,London,Glasgow,
108,108,False,August,8.0,2023.0,2023-08-01,France,Family Leisure,San Diego to Marseille via London,1.0,3,no,"Everything was ok until our connecting flight in London, just before take off, we were on the runway, the pilot came on to announce an engine problem. After engineers tried to fix it while we waited on the plane for over an hour we were finally told that we would have to be evacuated and rebooked for another flight but not to worry because a special crew was waiting for us on the ground to help us and set us up in a hotel except that there was no one to help us. In fact everyone refused to help us. It was Saturday almost 8pm and they just wanted to go home. Anyone with a connecting flight couldn't rebook on the application because the app wouldn't disassociate our first flight with the connecting one in London and the staff saw this but still refused to help us. They gave us a phone number but there was only a message that said just to use the app. Finally I got someone on the phone who rebooked us for the next day. Now it's 10:30pm and I have to find a hotel room because the airline refused also to help us with that. So i had 2 choices either sleep in the airport or pay over 700GBP for a room. I don't have the money to pay for this but after a 10 hour flight, 8 hours of jet lag and the insane stress after the fact that no one from British Airways would help us I took the room. Of course I claimed reimbursement but that was over 3 weeks ago and I haven't heard anything since so I have no idea when or how much I'll be reimbursed, even though I'm not claiming any emotional compensation from the horrible situation they put me through due to their total indifference. It's financially difficult for me right now because the money I had to put out is equal to half my salary and of course it's impossible to reach them by phone. I feel still as i did on August 26 2023 completely trapped by them and their indifference with no solution or information",San Diego,Marseille,London
118,118,True,September,9.0,2023.0,2023-09-01,Germany,Couple Leisure,London to Munich,1.0,1,no,4/4 flights we booked this holiday were delayed about 1-2 hours. No wifi available on 2 of 4 flights Food and drinks very basic and expensive. Cannot recommend,London,Munich,
124,124,True,August,8.0,2023.0,2023-08-01,United Kingdom,,Los Angeles to London,1.0,1,no,"British Airways absolutely does not care. My reserved seat was change from an aisle to center seat for this overnight, full flight and it was quite awful. After enquiring at LAX check in, the agent said sorry, nothing we can do. Onboard the flight the attendants seemed to try and finish the meal service at a racing speed, with meals trays passed out with no proper questions about choice. Then back and clearing trays and they disappeared to rest in the kitchen for hours after that. No water runs, if you need anything do not bother with the call bell, as they simply ignore it. I used to like travelling British Airways 10-15 years ago, but the bean counters have been in and lowered it close to a lowcost carrier. I guess staff are badly paid from their terrible attitude and service. My last trip to London was with Delta, they are so much better than this very poor excuse of an airline that British Air has now become.",Los Angeles,London,
