,verified,month_year_fly,country,aircraft,type,food,money_value,recommended,review
135,True,2023-08-01,United Kingdom,A320,Business,2.0,2,no,"Chaos at Terminal 5 with BA cancellations and delays, and staff give different reasons depending on who you ask. 9 out 10 answers were lies. Sadly, BA airport standards at T5 are worse than ever, and we are long past being able to use Covid as an excuse. As a short haul club Europe trip, I expect very little from BA any more, and they barely even provide that, with cutbacks during Covid that are now permanent. If you can find an alternative carrier on the same route, choose them rather than BA. Sadly, on my route BA have a monopoly."
167,False,2023-06-01,United Kingdom,A380,Solo Leisure,1.0,1,no,"Our A380 developed a fault taxiing to the runway - we returned to the gate only to then have the flight cancelled about 3 hours later due to a technical fault. All the while, BA staff were virtually non-existent, it was finally the captain who announced the flight was cancelled. BA provided an alternative the next day involving a connection but it was very much take this or else you were on your own. No arrangements or help made with overnight accommodation or transport,  Finally managed to get the legal minimum £520 compensation out of BA for the 26 hour delay they caused to my journey, and expenses were reimbursed too, but even this took four weeks. The fact that as a Business Class customer BA pays the minimum they can get away with says it all - they couldn't care less about customers, have no interest in loyalty and aren't bothered about your business. Given its our flights that pay BA's way, I'd suggest to anyone they take their hard earned cash to another airline who might at least care less about their customers. Not recommended."
169,True,2023-07-01,United Kingdom,Boeing 777,Couple Leisure,1.0,1,no,"My family and I have flown mostly on British Airways for the last 30 years. I am a priority passenger and fly often enough to recognise cabin crew and know some by name. They used to be a really good airline to fly with. Things have really deteriorated with their face to face customer care since the pandemic. The aircraft look worn. For example, on my flight back my audiovisual equipment did not work and had to be reset twice, finally working in the last hour before we landed. The second time around, I think the reset was done for the whole aircraft. The touch screen function on my screen did not work. The USB charger ports on my seat did not work. The staff were pleasant enough, but their service oozed mediocrity.  There did not seem to be much pride in what they were doing. The food has been the worst part on our BA flights since the pandemic. They gave us a menu, asked what we’d like, did a check and then told us that it was not available as they had run out and would we like to choose something else. They then told us that we’d get first choice at the second service which they couldn’t deliver on. Finally after choosing and getting whatever it is that we did, the food was tasteless. We take part in post flight surveys regularly and have stated all of this, to no avail. As a family of 3, we fly British Airways medium to long haul regularly, possibly 4-6 times a year each. For us, the good things about flying BA are that we are priority customers, usually have a direct flight to our destinations and get good service on the ground, when checking in and in the lounges when we use them."
197,True,2023-06-01,United Kingdom,,Business,1.0,1,no,Terrible. I have traveled twice with them this year via business class and they have been significantly delayed or cancellations with connecting flights. The customer service or complete lack of it is appalling and has forced me to change credit cards as I no longer intend to use BA for any further flights. Terrible uncomfy old planes and miserable staff.
230,False,2023-04-01,United Kingdom,Boeing 787,Couple Leisure,1.0,1,no,"Regarding the aircraft and seat: The business class seats on this flight were pretty good. All were of the suite type, where every seat has its own booth with sliding door for extra privacy. The downside to this is that if you are travelling as a couple, its quite difficult to interact. There is ample storage and USB charging ports. The seat is pretty comfortable. As someone who finds it very difficult to sleep on flights, this was one of the only times I've been able to get a few minutes sleep here and there. The amenities provided are pretty average when compared to other airlines. The leather toiletry bag was quite nice though. No slippers, only a pair of socks. The restrooms on the flight are very small, and don't provide much in the way of toiletries compared to other airlines. No free Wi-Fi in Business Class is not acceptable. Another example of BA's penny pinching in recent years. Regarding the staff and customer service: Poor. Inattentive. Beyond meal times there was offer of water during the flight. I had to go and find an attendant and ask. There was also no offer of any snacks. Rude at times. My partner asked for a fork to be replaced as the one provided was quite clearly dirty. The attendant was incredibly rude in response. This left us shocked. Different customers seem to receive a different quality of service. A customer behind me was repeatedly greeted politely by name and asked how they were, whether they needed anything etc. whereas my partner and I were not afforded the same level of personal service. This is disappointing as we paid the same price for the tickets so expect the same level of service. The food was pretty bad. I had risotto while my partner had chicken. Both were extremely over cooked and the rice looked like porridge. The vegetables were discoloured and flavourless. The bread was nice though. The breakfast wasn't much better. Summary: BA has become the Ryanair of long haul. The customer service is way below what I would expect for a premium airline in a premium seat. You pay a premium price for a very average service. If there are other options available I would choose them over BA these days."
233,True,2023-04-01,Canada,Boeing 777,Family Leisure,2.0,1,no,"Had the worst experience. The flight from London to Toronto got delayed and we missed the connecting flight to Halifax. We were four including an infant and a toddler aged 4 years, despite being delayed and missed the connecting flight the ground staff were not at all helpful. We waited for an hour to get them to talk to us and at 12 am they told us they have not booked any hotel for us to stay that night and asked to go search for a hotel on your own, very nice of you British Airways. At least you guys should have given some consideration to the travelers who travel with children and booked some accommodation. We will NOT to travel on this airline again."
247,True,2023-04-01,United Kingdom,Boeing 777,Couple Leisure,2.0,3,no,"Why do you make it so hard? After a so so lounge experience, the staff taking care of boarding treated us with disdain bordering contempt. It can’t be training, who would do that, it has to be no fear of anything happening. The “new” club world suites are a huge step up from the old product and really on deliver comfort and privacy. The crew were professional but I personally found the food menu rather odd. Essentially, there was one only main that I could handle and was then told they had ran out. I was a few rows in."
253,True,2023-04-01,United Kingdom,Boeing 777,Business,2.0,2,no,"I have flown with BA for many years and there was a time about 10 years ago when they were getting better. Sadly this trip underlines how they have slipped versus other airlines. At booking time, one is scammed an extortionate amount to book a seat. At Heathrow T5 check in the queues were unbelievably long and staff at bag drop curt to say the least. The lounges here remain awful and overcrowded and BA has not invested in them for many years. On the flight the food was okay, although portions are kept minimal. This was one of those days when the crew could not give a damn and the service was mostly absent for the entire flight. Next time they change CEO, can they not do better than recruiting from aa second rate, budget Irish airline."
264,True,2023-03-01,India,Boeing 777,Solo Leisure,2.0,3,yes,"First time flying with British Airways and first time flying to the Americas from India via London Heathrow. I chose Premium Economy at a reasonable price. I was quite comfortable, however, the first leg of the flight from Mumbai to Heathrow, the plane was a bit outdated and there was only a foot rest. The second leg, from Heathrow to Nassau, the plane was brand new and my premium economy seat had a pop up leg support which was much more comfortable. Cabin service was fine - I appreciated that they didn't come through the cabin often while everyone was sleeping. The meals weren't that great to be honest. After landing in Heathrow, we had to wait on the tarmac for 45 minutes waiting for an open gate. My connection was less than an hour long! The BA staff in the Heathrow Airport helped me move through security quickly and I made it with time to spare for my next flight. When I arrived in Nassau, I found that my luggage didn't make it due to the short connection time in London. The BA baggage representative in Nassau was extremely professional and took down my claim. My luggage arrived on the next BA flight a few days later, and British Airways Nassau representative delivered it over to a charter airline which shipped it to the island I was staying on. Very impressive and efficient!"
306,True,2022-12-01,United Kingdom,,Solo Leisure,1.0,1,no,"This flight was one of the worst I have ever had in my life. I wanted to pamper myself, so I bought business class. I was looking forward to my new experience. I will not mention the chaos of changing gates several times, as these things may happen. What surprised me was the lack of attention to passengers. The flight was delayed by almost 3 hours. Even though staff offered vouchers, we had no idea where to get them, and we were told that we only had about 10 minutes to use them because boarding had already begun. Firstly, I did not see anyone with the voucher, and secondly, even if we got it, we were not able to use it. When I finally got to the airport, there was another waiting for about 30 minutes after cross check. Meantime, we were told that due to problems, they did not load any food, so the flight will be without any food on board. The only food offered and given to everyone on the plane was a small bag of nuts. As a business class passenger, I was offered drinks only. All in all, my business class contained 3 small glasses of juice.   I received no apology or compensation from the company at all. It was a disgraceful and cheap service for a very expensive price."
312,False,2022-04-01,United Kingdom,,Solo Leisure,1.0,1,no,"I find BA incredibly tacky and constantly looking for ways to get money out of customers. I have travelled using major airlines my whole life and although I know it sounds silly - when on a 4 hour flight on a major airline you do expect some form of beverage or snack as a curtesy and a port to charge your phone and not have to pay insane prices for luggage. There was no inflight entertainment and the aircraft was very snug, when I challenged why I had to pay for my own drink and why no inflight entertainment - I was told it was a short haul fight. My sisters met me from Cairo (which is an hour and half flight) and flew Egyptair and somehow received luggage allowance, drinks, food and inflight entertainment as well as a USB port to charge their phones. BA I now realise stands for Budget Airline. Staff were great - what you got for your money not so much."
316,True,2023-01-01,United States,"A320, A380",Family Leisure,1.0,1,no,"Probably the worst business class experience I've ever had on an airline. Just a few of the issues: Required to purchase seats on international (Club World) business class. This was not made known during the ticket purchase process and cost me an additional $600 on a single leg (LHR-LAX) for a family of four. Given the very strange business class seating layout on BA A380s, leaving the seat selection to change could have been disastrous for my family. Ridiculously long boarding times on even small aircraft. On my VIE-LHR leg, the boarding time for the A320 was over 50 minutes long, leading to a delayed departure. There was no urgency on the part of staff to speed up the boarding times. Severe overcrowding in the boarding area in satellite C of terminal 5 at Heathrow. Boarding staff would not allow passengers to enter the roped off queue area before boarding (I have no idea why not) and so crowding was extreme. The overall boarding area was far too small for an A380, and I believe this satellite was designed and built after the first A380s were delivered. Online check-in in advance of flights appears to be completely broken. I was urged repeatedly (on the BA website, and via email and text) to ""upload my COVID documents"" even though, at the end of 2022, there are no COVID documents required for travel. After I filled in basic contact information on the website - and did not upload any ""COVID documentation"" - I was informed (several hours later) that my ""COVID documents have been verified"". I then received another text message urging me to ""upload my COVID documentation"". On the VIE-LHR leg, the shop.ba.com page that one is directed to after attempting to connect to wifi on the plane indicated ridiculously incorrect remaining flight times - over six hours, and then four hours just before landing. BA lounges for Club Europe and Club World at Heathrow are often seriously overcrowded. Furniture and carpeting and other finishes in the clubs are worn or dirty. That said, the food in the lounges was of pretty good quality. The food quality in BA lounges at Heathrow may be the only redeeming thing about this airline. Onboard, food and beverage service was far below average for international business class. Terrible, one might say. On the LHR-LAX leg, there was no pre-meal beverage service and there were NO mid-flight beverage services at all. Unlike most business class offerings on other airlines, there was no taking a meal order by flight attendants at the beginning of the flight. Meals were brought out haphazardly shortly after take off, with the ""chicken or fish?"" type of meal selection similar to economy class. There was no coffee or tea service after meals. Food quality was poor, with the pre-landing snack of a ""ploughman's lunch"" being downright disgusting. . There was no beverage or bar set-up in the galley areas - beverages available to passengers during the flight - as is standard on most international business class offerings. Even bottles of water seemed be hidden away, requiring one to ask the flight attendants for water. I won't comment on the bizarre seating layout on the A380, as others have rightly panned the awkwardness and extremely poor design of the seating. The seats are not 6' 2"" long as stated on the BA website, and I found the seats too short for my 6' 2"" height. The ""Priority"" luggage tags were not followed in the baggage delivery."
337,True,2022-11-01,Czech Republic,A320,Solo Leisure,1.0,1,no,"I flew from Prague to LHR. Excellent service, attentive staff, first drink service, then meal service (choice of three meals), later second drink service. In reality - excellent flight. Couple of days later I flew back from LHR to Prague. Boarding at LHR T5 was a total chaos. Onboard service cannot really be called service: No curtain between business and economy class (which later caused people endlessly passing to get to the toilet). Meal service could not get more unprofessional - 5 rows took two guys nearly 30 mins to serve. Constantly interrupted (no people passing to the toilets at this time yet). I don´t know if there was any meal choice as no one bothers talking to you. I was served that  afternoon tea consisting of three canapes-like bites and some drink. Why would we bother serving you also a scone. Hardly after 5 mins plates to be taken away - when I asked for my scone it came as a surprise I was not served any (no co-ordination between the crew).  Crew busy chatting at the galley. In reality - the service could not get any worse. One just must ask what do you pay the premium price for?"
356,False,2022-10-01,United Kingdom,Boeing 777,Solo Leisure,1.0,1,no,"I’ve generally been a loyal Gold status flyer with BA if they fly the route I’m after but my recent flight to Nairobi was about as abysmal as you can get. We should have departed at 10:20 but after continuous delays finally left 4.5 hours late, not ideal when you’ve then got an 8hr + flight. Staff informed us virtually as we took off that the meal and drinks service would be started and completed asap as they needed to get rest because of hours we had been delayed. They couldn’t get it out and away quickly enough. That was then basically the last you saw of them until they came around an hour or so before landing. I sincerely hope they enjoyed their rest because when you pay full fare for business class service you actually expect a service. They were all extremely miserable and clearly didn’t want to be on board. We’re still waiting for you to pay our compensation that has been awarded to us by the official ombudsman in July for the cancellation of our flight to Miami in March. This was cancelled at 3am for the 2:30 pm flight !"
373,True,2022-09-01,United States,A320-200,Solo Leisure,2.0,2,no,"The check-in process was smooth. I got access to the IGA Lounge which was nice, but not as nice has the Turkish Airlines Lounge. On board was what all this flight was about. This was my first time flying Intra-European Business Class, and though I was well prepared, I still found it underwhelming. First, the seat is just a normal economy seat, with the middle seat blocked off. There is no personal IFE, so basically no entertainment for a 3-hour flight. Meal service was very slow, and by the time it reached half of the business class cabin, one of the 2 choices ran out, plus the meal was not as good as the economy meal I got on my Turkish Airlines flight a few days ago. I could see that staff did their best, but since there were 32 business class passengers on a single aisle aircraft with a small galley, there was so much they could do. Also, the 32 passengers shared one single WC, meaning a long line for the bath room, something I have rarely seen in business class. Arrived at LHR, we did not get a contact gate, but the thing was that there was no bus either, and the crew announced that they had no idea when the bus would come. It finally came, of course, and the delay was more on the airport than the airline, but since BA is the main operator at Heathrow T5, such things will affect their reputation."
380,True,2022-09-01,United States,,Business,1.0,1,no,"London to Istanbul. British Airways Business Class rows comprise of three seats with the middle seat empty. Front rows about 5-7 are considered as Business Class, with very short leg space.  No pillows, no blanket, horrible inflight service, staff were harassing me. No curtesy for business Class check-in while waiting for flights."
389,True,2022-06-01,United Kingdom,,Solo Leisure,1.0,1,no,"I was told I'd require a 48 hr negative covid test for entry into Philippines. Booked my trip via BA.com, with a transfer in Singapore. They delay my transfer to the next day, okay, not too bothered as have my 48 hr negative covid test, but when I try to check in at Changi Airport, the Philippines Airlines check in staff require a 24 hr negative covid test. Had to rush to a different terminal, get tested, wait for the result, rush back to check in ...the gate had closed.  Had to book an extra night in Singapore hotel, book my own flight to Manila, then also the return journey back to London. If one misses one leg of a BA booked flight, the remaining flights get cancelled.  I discovered Oman Air Business Class and better then British Airways, from treating their customers, quality of service, the business class experience."
427,True,2022-06-01,United Kingdom,A320,Business,2.0,3,no,"As a regular BA customer on European flights, it is sad but true to note that standards continue to slip, particularly ground service at LHR and the atrocious handling of delays. Staff at the entrance to the First Wing was brusque to put it mildly, rude to be accurate. Flight boarded at 1835 for a 1900 departure. 45 mins later, 4 late customers were allowed to board, and not a single PA or apology from the flight deck or crew. The benefit of low cost airlines is they they don't hang around for latecomers, sadly BA is in a time warp over this. BA pilots used to be some of the best for updating status, but this has dropped dramatically in the last 2-3 years. The food standards and choices in the T5 First Lounge are one of the items that have been improved post Covid. Inflight service on this short 2h 40m flight was a light dinner tray, only 2 choices by row 3 - with 32 passengers in Club Europe only 4 salad options were available. No printed menu offered and the cabin staff explained he had only been given 10 menus for 32 customers. It appears there is no supply control in place at BA. Food quality was okay, but while Do&Co supply this, the Do&Co meals on Turkish Airlines remain superior to what BA manages (I flew Turkish 10 days ago). Staff service was perfunctory, but no attempt to interact with any customers in Club Europe cabin. I end where I started, BA standards continue to slip."
433,False,2022-06-01,United Kingdom,Boeing 777,Couple Leisure,2.0,3,no,"Feels like BA are putting the 'economy' back in 'premium economy'. Very pleasant, friendly and helpful cabin crew. However it was over two hours before food was served on this already-delayed 7.40pm flight. A single drink was offered in plastic cups before meal service, and with the food you were offered wine only, but the crew 'could come back later' if you wanted something else - including water! I drank wine anyway but I wouldn't leap at this offer given how long it took them to do food. I've never experienced this on other airlines' premium economy products (I flew WestJet this year and they took your drink orders just after you boarded, then brought them to you before, and then with, your meal in glassware - brilliant! Air New Zealand do glass and use your name throughout). Water eventually came round after we'd eaten. As I say, the crew was pleasant and friendly but seemed under-equipped, under-staffed or following poor procedures. Food was forgettable. In-flight entertainment was great and the screens large - unfortunately after every seatbelt light announcement the screens' brightness levels reset to their retina-searing default. Not fun on a night flight with turbulence. Loos on this Gatwick 777 were halfway down economy (which was pandemonium) or at the very back. The upside to this layout is that PE is next to the exit, so we deplaned very quickly. Check-in queue at Cancun took forever. Couldn't see or hear gate announcements so everyone crowded the gate. Grateful for priority boarding in this situation. Bags arrived OK at Gatwick, no delay. I continue to avoid BA unless using Avios for business class or where there is no alternative. BA's problems all seem so easy to fix - their cabin crew are clearly eager to help you, why aren't they equipped and given service procedures to match other airlines at this price point?"
474,True,2022-04-01,France,A320 / Boeing 777,Couple Leisure,2.0,2,no,"The short haul flights were the best with the crew on the final leg giving the excellent service that we all hope for. We chose out flights very carefully so that we were booked on flights with the Club World Suits not the Ying Yang arrangement that they still offer. At the last minute the aircraft was changed so we had to put up with the ying yang which really should have been pensioned off ages ago! Most business class offer 4 across but this layout still squeezes in 8 across. As we only take one long haul leisure trip a year in Business Class we always lose out on the ""Points game"" but I take exception to having paid in full on a non refundable basis not to be allowed to reserve my seats. The points gained from this trip alone would have allowed us Bronze status but we were not given this status until after the trip when it is useless to us. This status would have allowed us to book the seats 7 days prior to departure, when they were still available, rather than the 24 hours when they were not available. On the long haul return flight I was unable to book a window seat but on boarding after the doors had closed there was a window seat still vacant. I asked if I could move and was told by the FA she would check. Nothing happened but after take-off a passenger was moved from economy to that seat. Judging by the interaction between them I would bet it was someone on Staff Travel. I think it disgraceful that a full fare paying passenger should be treated like this. Take-off was just after 1930 hrs but we were not offered a drinks service before supper but were told we could order a drink that would be delivered on out tray with the meal. Had we done this our meal would have been cold by the time we ate it. In summary would I ever fly with BA again? No, not if I had half a chance of going with another airline."
496,True,2022-03-01,United Kingdom,Boeing 787-900,Solo Leisure,1.0,2,no,"I really can’t believe they have the audacity to call this First Class. The check in staff at Singapore were abrupt and unhelpful. The official BA lounge in Singapore was closed, so they’re using a cheap generic alternative, which anyone can pay twenty pounds to go in. Suffice to say it was not pleasant. Onboard was like being in the middle of a bad comedy sketch. I can not believe the two stewardess have ever had any first class training. I had to ask for slippers. The first drink took nearly an hour to arrive, despite only having 8 passengers to serve between the two of them. The poor woman sat next to me ordered a wine, which came filled to the brim. I mean it’s First Class, not a student house party. Neither had any knowledge of the wines on the menu. Most of the food was awful. My steak was dry, over cooked and tough, and whichever catering manger signed off on a canapé of soggy mushroom on top of a chunk of polenta should be sacked immediately. I will say, the cheese and port were nice. However the worst thing was the constant galley noise. There was a cart stowage immediately in front of my seat (1K) which they were in and out of all night, and appeared incapable of shutting without slamming. They also seemed to have stored their personal belongings in to the bin immediately above my seat, so we’re in and out of that as well. I will say the seat itself is very well designed, but personally I’m happy in Club and would never do First again."
504,True,2022-02-01,United Kingdom,Boeing 777,Solo Leisure,2.0,3,yes,"Flight took off two hours late after what can only be described as a shambles at the airport. No airbridge to the aircraft which is not acceptable. The aircraft was better than the outbound flight, who screen was so small. After serving only about 2/3rd of the cabin, no first choice. Only a vegetarian dish or a chicken dish from the economy cabin. The airline must know that vegetarians will order a meal, so why include it as a choice. Also, to offer a roll of ham/cheese for breakfast after a 12 hour flight is cost saving. A hot breakfast should be offered. With only 90 minutes between my connecting flight, due to late arrival, I made staff aware. Whilst they let me and others passengers of the flight first, there was no staff to assist in getting us to our flight. It was a struggle to get my connecting flight. On arriving in Glasgow, got txt to say my bags did not make the flight. First time using BA premium and likely my last."
509,True,2022-02-01,United Kingdom,A320,Business,2.0,2,no,"British Airways has scrapped the mandatory wearing of face masks onboard flights, although they pretend publicly that the policy remains. BA454 from London to Malaga on 25th February, and across 6 visible rows around me there were 7 out of 24 passengers wearing face masks - and I was one of them. This was long after the meal / drinks service had been cleared, and remained like that as we landed and deplaned. Cabin crew were frequently up and down the aisles and not a word was said to any of these non compliant passengers, or as they left the aircraft with staff bidding them farewell. I guess they are too scared to remind people to follow the rules?"
