,verified,month_year_fly,country,aircraft,type,seat_comfort,aircraft_1,aircraft_2,money_value,recommended,review
141,True,08-2023,United Kingdom,A320,Solo Leisure,1.0,A320,,1,False,"I flew London to Malaga on 27 August in Club Europe. We stood around at Gate B45 in Terminal 5 for over an hour, with staff giving very different reasons for the delay, late inbound aircraft etc - but the plane we boarded had been sitting there for more than an hour! After boarding, the captain stated that because they had changed planes there would be no meals served. This is Club Europe, and we received one small packet of crisps throughout the flight. No effort to apologise. We smelt the hot meal for pilots being heated and then saw it being served to them on a Club Europe meal tray. Cabin crew also had warmed pastries ( and were very quick to use air freshener in the front galley!) while customers received zilch. BA sent an email the following morning to say sorry - nothing else. What a complete and utter rip off by an airline that is already cutting back on so many things. I paid a full Business class fare, did not receive any part of the onboard meal service and they expect an email to be sufficient. Avoid BA if you have any other option nowadays, they are the worst in Europe."
143,True,08-2023,United Kingdom,A320,Couple Leisure,1.0,A320,,1,False,"Filthy plane, cabin staff ok, appalling customer service staff who couldn’t care less when dealing with a complaint. Paid extra for club Europe/business class. Food was poor, they gave you wipes to clean your seat area yourself and we were split up so they could accommodate families. Not really what you expect when you pay for the extra service. Will be cancelling our other bookings we have with BA, even if that means we lose our deposit."
144,True,08-2023,United Kingdom,A320,Business,2.0,A320,,2,False,"Chaos at Terminal 5 with BA cancellations and delays, and staff give different reasons depending on who you ask. 9 out 10 answers were lies. Sadly, BA airport standards at T5 are worse than ever, and we are long past being able to use Covid as an excuse. As a short haul club Europe trip, I expect very little from BA any more, and they barely even provide that, with cutbacks during Covid that are now permanent. If you can find an alternative carrier on the same route, choose them rather than BA. Sadly, on my route BA have a monopoly."
174,True,07-2023,United Kingdom,,Family Leisure,1.0,,,1,False,"Customer Service does not exist. One world emerald, frequent long haul flyer (including BA) - never seen such poor customer service or “computer says no”. Official BA.com site said all morning and afternoon that flight from Gatwick, delayed 2 hours. Delayed leaving for airport -only for BA to change back to original time. Called BA customer service 1.5 hours prior from highway saying situation - told not to worry, would note and flight rebooked if issue but go to airport. Got to airport 40 mins prior told could not board and that staff did not work for BA so could not help. Back on phone, 3 hours in total to be told could be rebooked, then couldn’t be, round and round. Ultimately told to file complaint. Then found out flight left 2 hours delayed. Paid for extra hotels flights with more competent airlines and now told 38 days wait for complaints to be responded to - heavens help economy and non-status flyers if that’s what the front end of the plane gets!"
176,False,06-2023,United Kingdom,A380,Solo Leisure,1.0,A380,,1,False,"Our A380 developed a fault taxiing to the runway - we returned to the gate only to then have the flight cancelled about 3 hours later due to a technical fault. All the while, BA staff were virtually non-existent, it was finally the captain who announced the flight was cancelled. BA provided an alternative the next day involving a connection but it was very much take this or else you were on your own. No arrangements or help made with overnight accommodation or transport,  Finally managed to get the legal minimum £520 compensation out of BA for the 26 hour delay they caused to my journey, and expenses were reimbursed too, but even this took four weeks. The fact that as a Business Class customer BA pays the minimum they can get away with says it all - they couldn't care less about customers, have no interest in loyalty and aren't bothered about your business. Given its our flights that pay BA's way, I'd suggest to anyone they take their hard earned cash to another airline who might at least care less about their customers. Not recommended."
206,True,06-2023,United Kingdom,,Business,1.0,,,1,False,Terrible. I have traveled twice with them this year via business class and they have been significantly delayed or cancellations with connecting flights. The customer service or complete lack of it is appalling and has forced me to change credit cards as I no longer intend to use BA for any further flights. Terrible uncomfy old planes and miserable staff.
226,True,05-2023,United Kingdom,A320 Finnair,Business,2.0,A320,,1,False,". The BA first lounge at Terminal 5 was a  zoo at 2pm, dirty tables and used tableware everywhere. Worse than this, the usual atrocious boarding gate service, and boarding started 50 mins late. The flight was operated by a Finnair A320, which is barely low cost standard let alone business class. Hard, thin, uncomfortable seats, poor legroom and the cabin was simply tatty - I remain shocked that BA allow this, and it's time for BA's CEO and management focused on standards rather than bean counting. Finnair cabin staff were fundamentally courteous, but they provide a very trimmed down, budget airline type service, as the whole trip turned out to be - and yet this business class ticket was one of the more expensive on recent trips. I thought post Covid that BA were better for a few months, but with the many cost cuts they are making, they fall well below all other European full service Airlines."
242,True,04-2023,Canada,Boeing 777,Family Leisure,2.0,B777,,1,False,"Had the worst experience. The flight from London to Toronto got delayed and we missed the connecting flight to Halifax. We were four including an infant and a toddler aged 4 years, despite being delayed and missed the connecting flight the ground staff were not at all helpful. We waited for an hour to get them to talk to us and at 12 am they told us they have not booked any hotel for us to stay that night and asked to go search for a hotel on your own, very nice of you British Airways. At least you guys should have given some consideration to the travelers who travel with children and booked some accommodation. We will NOT to travel on this airline again."
260,True,04-2023,United Kingdom,Boeing 787,Business,2.0,B787,,3,False,"Obviously many airlines have gone downhill in recent years. Prices have increased and services have gone down. The most disappointing thing about BA is that aspects that really don’t need to get worse have. The check in staff at Heathrow are downright rude and abusive, shouting at passengers to line here and there and rolling their eyes if passengers get confused with the constant shouting and bullying. Airlines are now competing globally more and more and this behaviour is particularly noticeable in Asia where the service industry is next level. I wouldn’t want to suggest that all the staff are like this and many younger employees are polite and helpful. However there were a couple of older staff that were downright rude and obnoxious."
327,True,01-2023,United States,"A320, A380",Family Leisure,1.0,A320,A380,1,False,"Probably the worst business class experience I've ever had on an airline. Just a few of the issues: Required to purchase seats on international (Club World) business class. This was not made known during the ticket purchase process and cost me an additional $600 on a single leg (LHR-LAX) for a family of four. Given the very strange business class seating layout on BA A380s, leaving the seat selection to change could have been disastrous for my family. Ridiculously long boarding times on even small aircraft. On my VIE-LHR leg, the boarding time for the A320 was over 50 minutes long, leading to a delayed departure. There was no urgency on the part of staff to speed up the boarding times. Severe overcrowding in the boarding area in satellite C of terminal 5 at Heathrow. Boarding staff would not allow passengers to enter the roped off queue area before boarding (I have no idea why not) and so crowding was extreme. The overall boarding area was far too small for an A380, and I believe this satellite was designed and built after the first A380s were delivered. Online check-in in advance of flights appears to be completely broken. I was urged repeatedly (on the BA website, and via email and text) to ""upload my COVID documents"" even though, at the end of 2022, there are no COVID documents required for travel. After I filled in basic contact information on the website - and did not upload any ""COVID documentation"" - I was informed (several hours later) that my ""COVID documents have been verified"". I then received another text message urging me to ""upload my COVID documentation"". On the VIE-LHR leg, the shop.ba.com page that one is directed to after attempting to connect to wifi on the plane indicated ridiculously incorrect remaining flight times - over six hours, and then four hours just before landing. BA lounges for Club Europe and Club World at Heathrow are often seriously overcrowded. Furniture and carpeting and other finishes in the clubs are worn or dirty. That said, the food in the lounges was of pretty good quality. The food quality in BA lounges at Heathrow may be the only redeeming thing about this airline. Onboard, food and beverage service was far below average for international business class. Terrible, one might say. On the LHR-LAX leg, there was no pre-meal beverage service and there were NO mid-flight beverage services at all. Unlike most business class offerings on other airlines, there was no taking a meal order by flight attendants at the beginning of the flight. Meals were brought out haphazardly shortly after take off, with the ""chicken or fish?"" type of meal selection similar to economy class. There was no coffee or tea service after meals. Food quality was poor, with the pre-landing snack of a ""ploughman's lunch"" being downright disgusting. . There was no beverage or bar set-up in the galley areas - beverages available to passengers during the flight - as is standard on most international business class offerings. Even bottles of water seemed be hidden away, requiring one to ask the flight attendants for water. I won't comment on the bizarre seating layout on the A380, as others have rightly panned the awkwardness and extremely poor design of the seating. The seats are not 6' 2"" long as stated on the BA website, and I found the seats too short for my 6' 2"" height. The ""Priority"" luggage tags were not followed in the baggage delivery."
346,True,11-2022,Czech Republic,A320,Solo Leisure,2.0,A320,,1,False,"I flew from Prague to LHR. Excellent service, attentive staff, first drink service, then meal service (choice of three meals), later second drink service. In reality - excellent flight. Couple of days later I flew back from LHR to Prague. Boarding at LHR T5 was a total chaos. Onboard service cannot really be called service: No curtain between business and economy class (which later caused people endlessly passing to get to the toilet). Meal service could not get more unprofessional - 5 rows took two guys nearly 30 mins to serve. Constantly interrupted (no people passing to the toilets at this time yet). I don´t know if there was any meal choice as no one bothers talking to you. I was served that  afternoon tea consisting of three canapes-like bites and some drink. Why would we bother serving you also a scone. Hardly after 5 mins plates to be taken away - when I asked for my scone it came as a surprise I was not served any (no co-ordination between the crew).  Crew busy chatting at the galley. In reality - the service could not get any worse. One just must ask what do you pay the premium price for?"
382,True,09-2022,United States,A320-200,Solo Leisure,1.0,A320,,2,False,"The check-in process was smooth. I got access to the IGA Lounge which was nice, but not as nice has the Turkish Airlines Lounge. On board was what all this flight was about. This was my first time flying Intra-European Business Class, and though I was well prepared, I still found it underwhelming. First, the seat is just a normal economy seat, with the middle seat blocked off. There is no personal IFE, so basically no entertainment for a 3-hour flight. Meal service was very slow, and by the time it reached half of the business class cabin, one of the 2 choices ran out, plus the meal was not as good as the economy meal I got on my Turkish Airlines flight a few days ago. I could see that staff did their best, but since there were 32 business class passengers on a single aisle aircraft with a small galley, there was so much they could do. Also, the 32 passengers shared one single WC, meaning a long line for the bath room, something I have rarely seen in business class. Arrived at LHR, we did not get a contact gate, but the thing was that there was no bus either, and the crew announced that they had no idea when the bus would come. It finally came, of course, and the delay was more on the airport than the airline, but since BA is the main operator at Heathrow T5, such things will affect their reputation."
389,True,09-2022,United States,,Business,1.0,,,1,False,"London to Istanbul. British Airways Business Class rows comprise of three seats with the middle seat empty. Front rows about 5-7 are considered as Business Class, with very short leg space.  No pillows, no blanket, horrible inflight service, staff were harassing me. No curtesy for business Class check-in while waiting for flights."
398,True,06-2022,United Kingdom,,Solo Leisure,1.0,,,1,False,"I was told I'd require a 48 hr negative covid test for entry into Philippines. Booked my trip via BA.com, with a transfer in Singapore. They delay my transfer to the next day, okay, not too bothered as have my 48 hr negative covid test, but when I try to check in at Changi Airport, the Philippines Airlines check in staff require a 24 hr negative covid test. Had to rush to a different terminal, get tested, wait for the result, rush back to check in ...the gate had closed.  Had to book an extra night in Singapore hotel, book my own flight to Manila, then also the return journey back to London. If one misses one leg of a BA booked flight, the remaining flights get cancelled.  I discovered Oman Air Business Class and better then British Airways, from treating their customers, quality of service, the business class experience."
462,True,05-2022,United Kingdom,A320,Couple Leisure,2.0,A320,,2,False,"Very low standards for Club Europe: there was no cabin divider in the aircraft, so no privacy or separate cabin as would be expected, aircraft not properly cleaned in Athens (there was full rubbish bag left in the seat pocket). No in-flight information as the in flight maps have long disappeared from European routes which is a shame. Staff was attentive though and tried their best."
530,True,01-2022,United Kingdom,Boeing 777,Couple Leisure,2.0,B777,,3,False,"Unfortunately having just flown in the new club world cabin this time we had an incredibly old plane. The good was the cabin crew who tried to make the trip as pleasant as possible. The bad was the in-flight entertainment, the screens were unwatchable when they worked, my wife’s didn’t, and post iPad era just don’t live up. The food was just about okay without being anything special but all served at once. Apparently the crew explained this is because of a shortage of staff. I’m afraid BA has a lot to do to regain its standing in the aviation world, the competition is too fierce now to sit on your laurels."
540,True,12-2021,United Kingdom,A319,Business,2.0,A319,,1,False,"In Glasgow one check in desk open. Huge queue with no business check in. It took me close to an hour to bagdrop. Getting onto the aircraft in Glasgow, no hello from the crew and the same getting off.  I normally find BA cabin crew very nice. Breakfast was a very tired looking croissant.  I used the BA lounge in Terminal 3. Not very keen on the new table service. Poor choice and miniscule portions. Lounge staff were very nice in both directions. On arrival at LHR there was a coach transfer from T5 to T3. We were packed in like sardines. So much for social distancing. The flight from LHR to Pisa was delayed and once we boarded we sat on the aircraft for another 2hrs 30 mins. Captain advised us that there was no tow truck for push back and when it did eventually arrive there were no baggage handlers to load the containers. No drinks or anything offered while we waited. Food was not even worth mentioning. As far as Club Europe goes it's not worth the extra cost. No priority baggage as mine were last onto the belt in Pisa, seats are economy seats with the centre one blocked off. The first officer summed it up when we arrived in Pisa- Sorry folks this trip was a pretty poor show by BA, and he was right. For the return trip on Hogmanay we left on time. I've never been on a flight to or from Pisa which has left in time. Pisa lounge is nice enough but the food choice is laughable. On board I gave the food a miss.  Heathrow back to Glasgow Flight left on time. Food was an antipasto of some sort which I declined.  Both cases were last off again. Club Europe is really not worth the money as you are in an economy cabin. I would have thought that BA would do more about their food and onboard service since the cabin is what it is."
558,True,11-2021,Australia,,Business,1.0,,,2,False,I was refused an early check in and was told to come back at 2:30pm for a 5.05pm departure. There was no staff until 2:45 and both staff members were very inexperienced with poor attitude taking up a lot of time for each passenger.
571,True,10-2021,United Kingdom,A321,Family Leisure,2.0,A321,,3,True,"Flight from Larnaca to LHR. Check in was ok. The lounge was an Aspire lounge and shared, it was basic but ok. Flight left 20 minutes late but made up time en route. There were 13 rows to the business class cabin on this A321. Service was ok but it was quite expensive for the product offered. It’s a long sector and the food wasn’t great. Drinks were ok but the staff kept going on about a lack of glassware, not really interested if I’m being honest when we’ve paid a lot of money for it. Staff were friendly and as responsive as they could be. Club Europe is fine for flights less than three hours but not for longer. The seats are not so comfortable. Not dreadful but something for BA to think about."
628,False,01-2021,United Kingdom,Boeing 787-9,Business,2.0,B787,,3,False,"I was travelling back from Mexico City on a business trip. Fully aware of the covid safety restrictions at the moment, which the staff do an admirable job with - but nevertheless a lot to say on the state of BA First at the moment. Firstly - no lounge at all at Mexico City Terminal 2. There's a paid lounge, but the check in staff wouldn't help with the details. Mexico City Terminal 1 has functional lounges for AeroMexico working. Not good enough for an expensive ticket. Finally got to board and the staff are incredible - but throughout they were super apologetic as to what was to come. The food was literally inedible in First and staff offered commented as much every time. So for an 11 hour trip in First the option really was chocolate or crisps. The first suite on the flight had visible signs of wear and tear and needs some attention. The seat would not easily convert to a bed. It had scuff marks around it and generally looked a bit shabby. Again, not what you'd expect from a premium product. I left my watch on the flight in error and contacted BA immediately about this. Despite assurances that they have a comprehensive cleaning process during Covid my watch was never found. BA has outsourced their lost and found service to a separate company and in the process they have completely washed their hands on helping out customers. Given that I told them specifically where I'd left the watch I can only assume that one of the cleaning staff decided to keep it. All in all, you pay premium on a flight for additional service. BA isn't offering it at the moment. If it is essential that you have to fly really don't bother with first unless you have to - or go to another airline. The company just don't care."
693,True,02-2020,United States,Boeing 747-400,Couple Leisure,1.0,B747,,1,False,"Las Vegas to Paris via London. The staff were great, but the 747 was the most uncomfortable flight in business class I’ve experienced.  The aisle seat felt like I was sitting in the aisle, a business class configuration of 2-4-2. That’s a tight squeeze. And,there were backward facing seats. The seats were not only uncomfortable but just so many things wrong with the configuration. I was just glad I didn’t pay full price for this flight."
698,True,01-2020,United Kingdom,A321neo,Business,2.0,A321,,2,False,"Madrid to London. I keep giving BA the benefit of the doubt, but things are getting worse not better. This A321 has cramped business class seats, no middle table any more and frankly this is a pathetic premium cabin. Despite every statement they make about catering improvements, i simply refer to meal photos on this route in 2016 or 2017 to see they have severely cut back on meal portions and cost. Iberia staff in  Madrid were all very nice, cabin staff okay, but overall Club Europe is not worth the money - don't waste your money on this."
701,True,01-2020,United Kingdom,Boeing 777-200,Business,2.0,B777,,1,False,"Las Vegas to Gatwick. A very disappointing service for Club World, it felt like I was travelling in economy (with attitude). Especially considering the very high cost of the flight (I've paid half as much less for business class returns to Australia). We got off to a bad start when offered one third of a glass of champagne (about 2 cm in the bottom of the glass). My initial drink after take off was not what I ordered, when I queried it, I got a lecture on this was how it should be. No wine arrived with dinner, until I asked for it a second time (out of stock of the first choice), no second glass of wine offered. Yes, I could have used the call button, but 1/3 of a glass of champagne and one glass of wine being offered on a 10 hour business class flight? Other than the initial bottle of water, and a glass of water with dinner, no other water was offered until I got up and went to the galley to ask. The good news is the food was good and well presented. Although the promised (on the menu) selection of pastries with breakfast were not served (I later walked past the galley to see the crew eating them for their own breakfast). We had dutifully filled in the pre-order card for breakfast, only to find we were being asked again at breakfast. Sleeping was impossible due to the temperature being so high, I actually thought I had a fever (I was so drenched in sweat) until I spoke to a colleague who was the same. I'm used to flying ultra long haul with Middle Eastern airlines, so I'm used to hot cabins, but this was crazy. Only when the crew dropped the temperature a few hours before landing (presumably to wake us up), was it bearable enough to sleep. Combined with the a very dry cabin air, it was very unpleasant. No need to say anything much about the eight across seating as I know the seats are being upgraded over the next few years, other than they are very cramped if sitting next to a window. I do like the semi-reclined position for take off and landing though. I have fairly big shoulders and found the seat width very restrictive. There is nowhere to put your spectacles or bottles of water if lying down. Being on the second aisle, we had to join in with the economy passengers queuing to disembark, so it wasn't quick. At no point did any member of the cabin crew introduce themselves other than via a general PA announcement. The seats I can forgive as they are being addressed, but the service was budget airline level. Really BA, you need to do much, much better. The ground staff in Las Vegas were fast, friendly and efficient. The lounge was something from the dark ages, all 1970's wooden panels."
786,True,10-2019,United States,Boeing 787,Couple Leisure,2.0,B787,,2,False,"San Jose to London. The TV screen of 12F was broken, could not be locked into position that would allow to watch movies. Flight attendants could not fix it, and suggested to move to a different seat which we slipped on purpose while checked in. The back of the seat in front was dirty. The tray on the 12D where I was moved to, had a hole on the right side, and the TV screen was not sensitive enough to be be operated by touch. Although my husband in 12E and me turned in the breakfast cards together, the flight attendant insisted they don’t have it, and was not planning to wake him up and serve him breakfast.  Flight attendants were doing their best, but it seems that they were understaffed."
875,True,08-2019,United Kingdom,A321,Couple Leisure,1.0,A321,,1,False,Malaga to London Heathrow . A shambolic airline. Rude and incompetent Iberia ground staff in Malaga. BA sent warning of the 2 hour delay just before the late boarding began - sophisticated IT setup they have! Club Europe meal remains a big cutback from 2017 despite what BA claim. Cabin staff were bored from the start and despite 4 serving in Club cabin the service was very poor. Arrived Heathrow at 23.45 and then sat waiting 10 mins for ground staff to show up.  Simply appalling trip and truly ripped off.
882,True,08-2019,United Kingdom,A320,Couple Leisure,1.0,A320,,1,False,"Palma to London Heathrow. How does British Airways get away with having such a useless IT system and presumably team of IT staff / management? These issues recur on such a frequent basis it is now time for some heads to roll, preferably from the CEO down. Just read a fatuously stupid interview with Alex Cruz talking about how his children are guiding him on the future of air travel, when this man cannot manage to run the airline properly in 2019 - let alone try to make himself look all eco-friendly with such comments. I have been a loyal customer for over 48 years, and it seems that BA have not the slightest interest in those of us that pay full fares and have been through all the lows of BA without complaint until now. My patience has run out."
891,True,07-2019,United Kingdom,A320,Solo Leisure,2.0,A320,,1,False,"London Heathrow to Malaga in business class. Full and very large Club Europe cabin on this morning flight. Held in the airbridge for 15 mins while boarding and not a word or reason as to why. On boarding, 2 cabin staff by entrance stood chatting amongst themselves and totally ignored customers - not a great start. Usual cabin service except the staff were not the slightest bit interested in customer service and having paid a premium for business class realised it was such a waste of money. The breakfast standards (full English) are about the same as a charter flight standard, and despite what BA shout about, this has gone through some considerable cost cutting. BA can perform well on a good day, but it seems that cabin service is getting less consistent by the day - are staff preparing to go on strike as well since that is the attitude they displayed. Male cabin staff was quite offensive to some Arabic customers in front, which was a shocker."
895,True,07-2019,United States,A320,Business,2.0,A320,,1,False,"Mykonos to London flight delayed and waiting to depart. They are not on time, be prepared to miss your connections, take off 2 hours late,. The staff is some of the worst I have had on airlines. You may be stuck on the runway and they won’t offer you any water.  The worst business class experience I have had."
904,True,07-2019,United Kingdom,,Business,2.0,,,1,False,"Seems like no one was aware of my existence on the flight. No drink, no snack, no bottle of water was offered. No amenity kits. When I asked, they said none were left in stock. They gave me toothpaste and a toothbrush, which was ok, and fast track invitation, which was useless, since no fast track is offered to British passports. I was not given a menu, I even had to ask for it. I was not served the meal and they said it was because I was sleeping. Ok fine but even when I was awake, no one bothered to ask me about the meal. I had to ask for the menu, a bottle of water, and the meal. And after all, no apologies from the staff. Too many people are squeezed into business class. Even though I could lie down 180 degrees, I had very little space at my seat. Given the very expensive fare, I expected a much better service for business class passengers. I'm very disappointed and will never use it again. I won't recommend British Airways business class to anyone!"
906,True,07-2019,Australia,A320,Couple Leisure,1.0,A320,,1,False,"Lisbon to London. Business class is just economy class with an empty middle seat. No leg room for me. Meal service had no choice by the time they got halfway through business class. All that was left was cod. Freezing cold, but no blankets. Poor staff spent most of the flight apologising. Never fly British Airways."
973,True,04-2019,United Kingdom,Boeing 777-200,Business,2.0,B777,,2,False,"London to Shanghai. The most disappointing business class I have flown in a long time. The plane was old, worn and dirty (there were crumbs of food on the seat and the floor from a previous flight), It took 2 hours to for drinks service to reach my seat after take off - the food followed shortly, which was over cooked. They seemed to be short on staff. However, what made me really angry was that there were people in the cabin who had had both drinks and food and were having their beds turned down before I’d even been offered a drink. The service was exceptionally poor. I am flying home tomorrow and am not looking forward to the flight. As a Gold card holder, you might have thought BA would check their frequent fliers are being looked after? I’ll return to using other airlines in the one world group for my long haul trips, such as Cathay, JAL or Finnair. The only reason that I’ve given more than one star is that I managed to sleep quite well - the bedding and pillows were good. Ultimately though - sorry BA, not good enough."
